Date,Open,High,Low,Close,Volume,Change
2018-01-02,1860,1880,1830,1880,157321,0.01897018970189701
2018-01-03,1880,2045,1880,1995,637244,0.061170212765957466
2018-01-04,2050,2050,1990,2000,272501,0.0025062656641603454
2018-01-05,2000,2190,1990,2180,716580,0.09000000000000008
2018-01-08,2185,2425,2160,2420,1576326,0.11009174311926606
2018-01-09,2495,2495,2250,2370,601829,-0.02066115702479343
2018-01-10,2450,2450,2240,2260,361584,-0.04641350210970463
2018-01-11,2260,2265,2135,2200,427736,-0.026548672566371723
2018-01-12,2200,2240,2150,2240,192658,0.018181818181818077
2018-01-15,2240,2265,2160,2170,212982,-0.03125
2018-01-16,2195,2215,2130,2175,153530,0.0023041474654377225
2018-01-17,2125,2450,2125,2325,571514,0.06896551724137923
2018-01-18,2335,2365,2275,2320,164620,-0.0021505376344086446
2018-01-19,2320,2325,2270,2320,94134,0.0
2018-01-22,2335,2335,2250,2280,86142,-0.017241379310344862
2018-01-23,2280,2310,2250,2260,78219,-0.00877192982456143
2018-01-24,2290,2290,2235,2250,117736,-0.004424778761061954
2018-01-25,2270,2315,2245,2270,133465,0.008888888888888946
2018-01-26,2275,2315,2260,2275,127034,0.0022026431718060735
2018-01-29,2290,2430,2290,2350,246691,0.03296703296703307
2018-01-30,2365,2400,2300,2300,117569,-0.021276595744680882
2018-01-31,2295,2420,2265,2330,195993,0.01304347826086949
2018-02-01,2315,2395,2300,2345,105765,0.006437768240343367
2018-02-02,2350,2350,2290,2300,84004,-0.019189765458422214
2018-02-05,2330,2330,2130,2180,204854,-0.05217391304347829
2018-02-06,2120,2165,2050,2145,201435,-0.016055045871559592
2018-02-07,2165,2195,2060,2060,135989,-0.03962703962703962
2018-02-08,2060,2150,2060,2150,100072,0.043689320388349495
2018-02-09,2090,2175,2090,2150,82036,0.0
2018-02-12,2150,2210,2145,2145,62665,-0.0023255813953488857
2018-02-13,2175,2220,2125,2150,93138,0.002331002331002363
2018-02-14,2150,2205,2045,2110,127033,-0.018604651162790753
2018-02-19,2110,2140,2020,2110,160006,0.0
2018-02-20,2125,2155,2075,2095,110135,-0.007109004739336511
2018-02-21,2105,2110,2055,2070,142888,-0.011933174224343701
2018-02-22,2070,2100,2060,2095,147470,0.012077294685990392
2018-02-23,2100,2140,2070,2080,133105,-0.007159904534606243
2018-02-26,2075,2125,2070,2080,143073,0.0
2018-02-27,2105,2150,2085,2085,155017,0.0024038461538462563
2018-02-28,2115,2120,2060,2090,103160,0.0023980815347721673
2018-03-02,2090,2140,2025,2085,177923,-0.0023923444976076125
2018-03-05,2055,2080,2000,2030,103348,-0.026378896882493952
2018-03-06,2050,2070,2025,2040,111030,0.0049261083743843415
2018-03-07,2055,2070,1995,1995,147521,-0.022058823529411797
2018-03-08,2000,2035,1965,2000,226689,0.0025062656641603454
2018-03-09,2020,2085,1990,2010,209251,0.004999999999999893
2018-03-12,2015,2030,1985,2010,182077,0.0
2018-03-13,2070,2070,2005,2040,125020,0.014925373134328401
2018-03-14,2065,2080,2040,2075,149371,0.017156862745097978
2018-03-15,2080,2365,2080,2260,1420150,0.08915662650602418
2018-03-16,2290,2295,2220,2230,1259272,-0.013274336283185861
2018-03-19,2230,2245,2165,2220,226263,-0.004484304932735439
2018-03-20,2205,2235,2170,2235,249729,0.006756756756756799
2018-03-21,2235,2290,2195,2275,332741,0.017897091722595126
2018-03-22,2275,2350,2225,2230,362723,-0.01978021978021982
2018-03-23,2190,2280,2140,2140,325266,-0.04035874439461884
2018-03-26,2170,2180,2125,2150,122980,0.004672897196261738
2018-03-27,2155,2235,2145,2235,257076,0.03953488372093017
2018-03-28,2230,2230,2145,2170,263385,-0.029082774049216997
2018-03-29,2175,2205,2135,2165,237709,-0.0023041474654378336
2018-03-30,2180,2215,2165,2215,150547,0.023094688221708903
2018-04-02,2180,2230,2170,2210,176261,-0.0022573363431150906
2018-04-03,2185,2190,2150,2160,161033,-0.022624434389140302
2018-04-04,2165,2200,2050,2050,480274,-0.05092592592592593
2018-04-05,2060,2095,2005,2020,196960,-0.014634146341463428
2018-04-06,2020,2100,2020,2090,162840,0.034653465346534684
2018-04-09,2090,2150,2065,2110,144548,0.009569377990430672
2018-04-10,2115,2115,2040,2060,106617,-0.023696682464455
2018-04-11,2075,2095,2040,2095,84526,0.016990291262136026
2018-04-12,2065,2160,2030,2110,154594,0.007159904534606243
